,name,link,salary_min,salary_max,currency,site,_id
56,Fullstack java developer (SBB),https://voronezh.hh.ru/vacancy/49070402?from=vacancy_search_list&query=python,,,,hh.ru,49070402
57,Azure Senior Data Specialist,https://voronezh.hh.ru/vacancy/49065656?from=vacancy_search_list&query=python,,,,hh.ru,49065656
58,Разработчик DWH,https://voronezh.hh.ru/vacancy/48200139?from=vacancy_search_list&query=python,,,,hh.ru,48200139
59,Преподаватель постоянных уроков(программирование),https://voronezh.hh.ru/vacancy/49059947?from=vacancy_search_list&query=python,25000.0,,руб.,hh.ru,49059947
60,Data Engineer,https://voronezh.hh.ru/vacancy/49053573?from=vacancy_search_list&query=python,,,,hh.ru,49053573
61,Инженер-программист Python,https://voronezh.hh.ru/vacancy/49051208?from=vacancy_search_list&query=python,150000.0,200000.0,руб.,hh.ru,49051208
62,Python разработчик (Middle/Senior),https://voronezh.hh.ru/vacancy/49049946?from=vacancy_search_list&query=python,160000.0,200000.0,руб.,hh.ru,49049946
63,DevOps инженер (удаленно),https://voronezh.hh.ru/vacancy/47394407?from=vacancy_search_list&query=python,,,,hh.ru,47394407
64,Backend разработчик,https://voronezh.hh.ru/vacancy/49042251?from=vacancy_search_list&query=python,,,,hh.ru,49042251
65,Администратор Linux/Unix систем,https://voronezh.hh.ru/vacancy/46193468?from=vacancy_search_list&query=python,,,,hh.ru,46193468
66,Специалист службы поддержки с техническими знаниями (Браузер),https://voronezh.hh.ru/vacancy/48221827?from=vacancy_search_list&query=python,15000.0,,руб.,hh.ru,48221827
67,Специалист службы поддержки с техническими знаниями (Контест),https://voronezh.hh.ru/vacancy/48224451?from=vacancy_search_list&query=python,15000.0,,руб.,hh.ru,48224451
68,Аналитик данных и бизнес-процессов в металлургическую компанию,https://voronezh.hh.ru/vacancy/49027274?from=vacancy_search_list&query=python,100000.0,,руб.,hh.ru,49027274
69,Big Data - разработчик,https://voronezh.hh.ru/vacancy/49026002?from=vacancy_search_list&query=python,,,,hh.ru,49026002
70,Системный администратор MS SCOM / MS SCCM,https://voronezh.hh.ru/vacancy/42896571?from=vacancy_search_list&query=python,,,,hh.ru,42896571
71,Администратор программного обеспечения,https://voronezh.hh.ru/vacancy/46459075?from=vacancy_search_list&query=python,,,,hh.ru,46459075
72,Преподаватель компьютерных курсов,https://voronezh.hh.ru/vacancy/49003027?from=vacancy_search_list&query=python,,,,hh.ru,49003027
73,С/C++ Developer (System/Embedded),https://voronezh.hh.ru/vacancy/48543020?from=vacancy_search_list&query=python,,,,hh.ru,48543020
74,С/С++/Python Developer,https://voronezh.hh.ru/vacancy/48022036?from=vacancy_search_list&query=python,,,,hh.ru,48022036
75,Senior С/C++ Developer (System/Embedded),https://voronezh.hh.ru/vacancy/46161475?from=vacancy_search_list&query=python,,,,hh.ru,46161475
76,Embedded Software QA Engineer,https://voronezh.hh.ru/vacancy/43154968?from=vacancy_search_list&query=python,,,,hh.ru,43154968
77,Инженер-программист Python (Воронеж),https://voronezh.hh.ru/vacancy/43723134?from=vacancy_search_list&query=python,,,,hh.ru,43723134
78,Инженер-программист С++ (Воронеж),https://voronezh.hh.ru/vacancy/43723464?from=vacancy_search_list&query=python,,,,hh.ru,43723464
79,Инженер-программист (Воронеж),https://voronezh.hh.ru/vacancy/43723772?from=vacancy_search_list&query=python,,,,hh.ru,43723772
80,Middle Web-QA Engineer,https://voronezh.hh.ru/vacancy/48236014?from=vacancy_search_list&query=python,,,,hh.ru,48236014
81,Senior Python Developer,https://voronezh.hh.ru/vacancy/48979176?from=vacancy_search_list&query=python,230000.0,350000.0,руб.,hh.ru,48979176
82,Специалист по тестированию,https://voronezh.hh.ru/vacancy/48976603?from=vacancy_search_list&query=python,,,,hh.ru,48976603
83,OCS Software Engineer (Application Management),https://voronezh.hh.ru/vacancy/48972632?from=vacancy_search_list&query=python,,,,hh.ru,48972632
84,OCS Application Analyst (Application Management),https://voronezh.hh.ru/vacancy/48972490?from=vacancy_search_list&query=python,,,,hh.ru,48972490
85,Финансовый аналитик,https://voronezh.hh.ru/vacancy/47471953?from=vacancy_search_list&query=python,,,,hh.ru,47471953
86,Помощник системного администратора Linux (Junior),https://voronezh.hh.ru/vacancy/48962054?from=vacancy_search_list&query=python,45000.0,,руб.,hh.ru,48962054
87,QA Engineer,https://voronezh.hh.ru/vacancy/48504591?from=vacancy_search_list&query=python,,,,hh.ru,48504591
88,Head of Division,https://voronezh.hh.ru/vacancy/48944632?from=vacancy_search_list&query=python,,,,hh.ru,48944632
89,DevOps инженер (Kubernetes),https://voronezh.hh.ru/vacancy/48935184?from=vacancy_search_list&query=python,,,,hh.ru,48935184
